Filename,BIC,Cell Counts,Optimal Lambda,Min Radii,Max Radii,Mean Radii,All Radii
Benzaldehyde_10e-6_Worm2_Buffer_batch_0,5,74,3.65105,3.289361216237991,4.159685691429249,3.7770330254915683,"4.159685691429249,3.9169647467066744,3.8161988447275723,3.504160866821354,3.310824503755841,3.918456829193905,4.064559173085775,3.4320071163197245,3.852815955550504,3.59445130194816,3.979376985357048,3.945040858526574,4.019833709809877,4.050172877586295,4.07326695377823,3.5022809064851415,3.7652300709546656,4.056962798048389,3.8125674348181495,3.9111342549481987,3.802361743690878,3.875891330658848,4.0668751962454674,4.018514447560543,4.0321120587738335,3.5548168744523996,3.8873142359172514,3.8897068144153804,3.978913022856614,3.7521437093919467,3.6293116400273635,3.6898695822990617,3.5662466913666617,4.100038785440203,3.946924519440577,3.5997768970634363,3.578648390996065,3.94849988834179,3.289361216237991,3.7292194547984554,3.7660686435847746,3.7730555674766664,3.813495295126936,3.6435012471383526,4.027245907188522,3.973832783797553,3.9596072884900524,3.9881256333833814,3.8296513822533176,3.8435039126596435,3.6136505735731452,4.089453480620383,3.887666927608538,3.8082792637990126,3.868165226847136,3.47077030047584,3.462689224074704,3.770541474963821,4.081710443950918,3.7988678321208935,3.9063003667035328,3.7508702649022485,3.6799844261993844,4.08572735875327,3.3377278865641204,3.6888294215912216,3.4376018999841804,3.313065216272759,3.3421491521830875,3.495241869638119,3.9885223275654127,3.6108739058265695,3.3283667406258735,3.442762260606593"
NaCl_200mM_Worm1_Buffer_batch_0,6,73,2.26176,1.926125478371208,2.706374231338104,2.3540222876023167,"1.984870049637089,2.457319234922988,2.432762646847593,2.536844580776702,2.607218721379086,2.361067232284692,2.487809785258168,2.495429338256247,2.403382771294204,2.3003886945530763,2.3529446203738345,2.203422599655936,1.9995157982818799,2.431723391480254,2.706374231338104,2.706028050392292,2.491472716449782,2.651930190928229,2.326852003635115,2.335723845379659,1.999123998766561,2.5815084352614606,2.657491802513864,1.9932444731186971,2.5788567626025856,2.433387088712288,2.2974260847783614,2.3946974132054537,2.5790307107833423,2.2603692145364365,2.5057171805116747,2.294757962343843,2.3047564236991347,2.4443133001177357,2.3996437179014825,2.2950837323438966,2.370074214113277,2.2023040822624522,2.3726357701536127,2.4389224985023183,2.6556141008843315,2.2087448049949883,2.3984003097868656,2.49916174178995,2.246765711528569,2.4907739181670845,2.2608858295208445,2.377250408002307,2.284265422824762,2.1979408143647863,2.3343889795753827,2.2616886770391766,2.3511908920320583,2.1574811709009905,2.2188981278588806,2.1353343913554514,2.42643936281753,2.690626047988094,2.6816617818065502,2.365217214155382,2.0861257449374717,2.515280635666268,2.189422962910697,1.9807580441525983,2.140940577371325,2.0273044680145373,1.926125478371208,2.6440610718498245,2.1775570989242774,2.682753272163959,2.5305365645504967,2.0478565543778227,1.9757494449312643"
NaCl_600mM_Worm3_Buffer_batch_0,4,44,3.5148,3.228722861219202,4.047842228818205,3.6229490549315884,"3.7118918447173446,3.7275699495502925,3.4919992337661094,3.806146051959668,3.723562295508889,3.4915360098644053,4.047842228818205,3.45191315224185,3.8065775059185722,3.4419232731504286,3.4830011503121354,3.832103570244485,3.5151049267255448,3.8193123005713887,3.828055314448671,3.4301935443225746,3.6469456272387557,3.6011543989301256,3.710125292993763,3.7356948939048666,3.738240980647912,3.3803197333453676,3.6690312461394616,3.4689635228171976,3.433358673255925,3.8919344582553457,3.5061754799663496,3.228722861219202,3.485985011934485,3.9360065660139307,3.849306940162053,3.4989219186133655,3.7265153402519995,3.5445447216003196,3.3735497582136147,3.7360528823399295,3.30591679676357,3.4068432248921705,3.36542693767948,3.9508352000151956,3.7991949259182523,3.5671570313636556,3.7192085140899755,3.524893126303065"
Diacetyl_10e-7_Worm1_Buffer_batch_0,3,28,5.40614,5.200566085746094,5.901499534227248,5.564405230519119,"5.651332325990295,5.268713719611564,5.901499534227248,5.200566085746094,5.7224495827008495,5.264763837336597,5.453335033289626,5.705603058819199,5.33530087488853,5.271798148082643,5.789290037680311,5.364757148223609,5.406550560200825,5.64712912984876,5.672727080981023,5.273376275937317,5.816173282844259,5.511507385351697,5.396484676837225,5.602119964669897,5.481887470800325,5.72143483423898,5.6500739246337925,5.795896521951762,5.811820426844455,5.751291886721706,5.508440306729715,5.827023339347019"
x2nonanone_10e-2_Worm1_Buffer_batch_0,5,80,5.10045,4.383629349863146,5.616103097172856,5.225146570417638,"4.678205980863525,5.36869819347356,5.096358336604444,5.048213500137361,5.412919978449074,5.114454567122093,5.372957937915168,5.171530743177363,5.202862621921319,5.272947616335257,5.225851099536516,5.339685784338054,4.951138086100061,5.221740822693139,5.28560458057986,4.93543758870023,4.768875447177715,5.228521522159838,5.5198756365829995,4.693406720605316,4.6663856336501155,5.444880828862765,5.297349874479478,5.225522037990182,5.314038528884095,5.481754292661782,5.008783720845827,5.3645231859193006,5.2635541840901885,5.2144702290867215,5.307549845500004,5.436337116502407,5.0694192515111025,4.9469489960000965,5.433239927033971,5.332772749987355,5.045784676722835,5.481362979271641,5.241928532737925,5.332888681745452,5.3237371561305595,5.170688061380925,5.476010788381547,4.90517693563565,4.931161849108268,5.094164026635044,5.489391629919368,5.299621548316455,5.312619950236988,5.154064845295311,5.430667648690557,5.531062824552754,5.608747482905634,5.491718481243572,5.084756563723302,5.480954851137763,5.616103097172856,4.770899239080924,5.431604584065009,5.437268757246864,5.459014041303195,5.367840331274153,5.1655816016645,5.4983802225094704,5.164203417895979,5.468717238964338,5.363633629592111,5.604353658302492,5.359559665908144,5.520900752033496,5.3719365097249145,5.205424984563538,5.303578632967378,5.344462251630695,5.304085840660488,4.558727472901104,4.383629349863146,4.471386973662731,5.496101661904543,4.741005037269146"
NaCl_200mM_Worm2_Buffer_batch_0,6,54,2.07313,1.7444150020160047,2.5069455945245336,2.1645490128061016,"2.262941151687832,2.2317461434924626,2.133865951067565,1.8397790964000265,2.5069455945245336,1.9910818532604313,2.4298670007627985,2.300892723723328,1.8907757022879206,2.379840036920789,1.8939218018355304,2.3134019649250948,2.433095260073727,2.3016108716338053,2.3046193443376177,2.2938105780475047,2.3478341431933334,2.0946911406205144,2.448546987771521,2.243760464678835,2.270574909971367,2.4464010055095016,2.3196617699965802,2.04893961622184,2.0502465910480803,2.0512903781458305,2.0823805734454317,2.033785047806932,2.0674926148630406,2.068502568964799,2.054149134431681,2.285413297222091,2.1195627965521866,2.0418607754682645,2.1621642162911128,2.1444456237897804,2.317942960263588,2.302185011355238,2.240074318014146,2.4116161408114007,2.10904478097106,2.4457061773474673,1.7921696659926751,2.103402115019822,1.9597893722392434,2.188603846415223,2.06403074430245,1.990692176979054,2.0449659552648045,1.9751413385098,1.7921388217245595,1.7444150020160047,2.0925236732914647,2.4213058600377897"
Benzaldehyde_10e-3_Worm3_Buffer_batch_0,5,80,4.95178,4.448105757030667,5.439068630136508,5.102632852316505,"4.697885050568874,4.634003329025428,4.58750936597944,4.448105757030667,5.224148704402478,4.934663894381109,4.658751916203028,4.922460468244995,4.890984159450214,4.689505900340751,5.185158752111132,4.986375180377912,4.819227195245462,4.852144229224569,4.892470914282732,5.007207495515826,5.23347834727219,4.984637307771583,4.961440828393192,4.997700306953572,4.904079870272752,5.251908767264077,4.949825388874268,4.950838031140704,4.685933027002692,5.126407789364383,5.048043969817782,5.113689870007815,5.391805188022248,5.292725621656769,4.948769165989069,4.883683586221516,5.191281198476643,5.079290179335203,4.981201912124817,5.073470736735395,5.244466717362456,5.226376728102491,4.966835501204071,4.471709330700712,5.389808614202482,5.292301154523918,4.830608848237779,5.33213488495205,5.242294547099106,4.674077268544011,5.271807390149409,5.236693432211527,5.399959652715896,5.224964752234151,5.409749286447276,5.297443963397908,5.215886231746589,5.001920597740806,5.307738086302888,5.104324339729434,5.1715738802779425,5.16225747279953,5.427500093374325,5.260043190869052,5.403017400756837,5.323405627107368,5.417652807487476,5.263672212978775,5.306042642006171,5.282474123315472,4.9283166078911185,5.05439963600521,5.350241913391964,5.333921812778623,5.385528554160075,5.216521314230558,5.430369747017939,5.359569072025015,5.396928770974146,5.422592987762374,5.345445341348036,5.342493167907854,5.439068630136508,4.565676446031774"
x2nonanone_10e-4_Worm3_Buffer_batch_0,6,73,5.96663,5.437181724778616,6.461837542624954,6.129907594242762,"6.084362095635842,6.220383412180745,5.529214901464103,5.568948083055764,5.605008812826735,6.034791256618183,6.1036268498929855,5.865224120995496,6.398785160073419,6.2770421336505136,5.95676287815574,5.9076243584782855,5.837348693359436,6.063528603259742,6.3609609206208635,6.405166219737983,6.3244704401908605,6.205781220441016,6.096256335691221,5.848987885119378,6.2055390623091595,6.344130390529602,6.1340222129259,6.364251971499651,6.271162537627146,6.359453220715549,5.644833509074758,6.226655286658912,6.210636204967244,5.924767237650381,6.383848318712696,6.319832964440487,6.213054886595297,6.124083233817466,6.338583889454363,6.23495575419097,6.376458712715025,6.395545916667233,6.035159866201248,6.198478650393811,5.792546883009911,6.429174791366229,6.415621149413704,6.419871746513155,6.143403896027956,6.279275596070339,6.321009635400398,6.250778145806484,6.2952699774259955,6.332121269654933,5.761840211685702,5.98812771518143,6.2938704753876324,6.111724032217677,5.968639635124858,6.065160257326381,6.407520623872869,6.138706794907435,6.2611826499588155,6.297496278374215,6.120674936753247,6.051763577790322,6.264369404379781,6.102960669839509,6.27444203814721,6.025367258511986,6.270095988291587,6.461837542624954,6.160067194969386,5.437181724778616,5.577418544515572,5.479445830052266,6.284559695745871"
Diacetyl_10e-7_Worm2_Buffer_batch_0,3,26,5.3229,5.279613054434357,5.909324791698461,5.496840767582447,"5.346532295564471,5.29800831106773,5.434165726601149,5.909324791698461,5.494212589193417,5.589972529074957,5.279613054434357,5.306379976930868,5.50271806004397,5.421453070112871,5.357525868251679,5.440049804190483,5.4204003646584376,5.576578505427205,5.286080492667388,5.7621232530650905,5.809231987154627,5.442875064686127,5.637914856315671,5.459252451294785,5.584286385951472,5.3298797687252355,5.687892268986725,5.703504655202861,5.474578127113053,5.363305698730521"
x2nonanone_10e-2_Worm2_Buffer_batch_0,5,70,4.52396,4.0360714083195095,5.010485498441586,4.6558387882720105,"4.9799542449818555,4.868250449436516,4.256945643720969,4.750929381374139,4.941812824946522,4.324929233120233,4.805479122380522,4.705729805958911,4.962010724328768,4.317072842370747,4.56638990345749,4.8004965980367045,4.6813914525255065,4.7230679895580465,4.266879139523474,4.596378771484454,4.511180493629873,4.854692406882484,4.854293366486499,4.265596134810632,4.92693009134207,4.283354861921239,4.182955788066606,4.532223543660846,4.84819759659188,4.797765056448883,4.302443029030077,4.412224453941492,4.772172821857102,4.807833721911028,4.610460694190944,4.4039369766862695,4.463381673219942,4.9370405946861755,4.610607916991747,4.549315192925829,4.920223980257576,4.470387234674504,4.925711499783821,4.402355490463309,4.906570251413625,4.4303701505354,4.4503547503044265,4.679491786392754,4.652392085290891,4.7372385843657545,4.751938526653183,4.8045144256385575,4.977094407960359,4.915403071000958,4.691559122538845,4.845827778310894,4.5180019515819065,4.9128831592172775,4.793615599825651,4.686998858202168,4.980756887936954,4.925216385510742,4.777565839749857,4.999209310272606,4.686408919040232,4.613968245257962,4.925634562628321,4.474562569753361,5.010485498441586,4.2171440214707445,4.752078413324605,4.327786941804954,4.0360714083195095,4.234568918630891"
